HAT_KODU,DURAK_ID,BINIS_SAYISI
00777,21104,2
00777,21106,11
00777,21144,1
00777,21146,1
00777,21148,5
00777,21150,42
00777,21157,1
00777,21271,42
00777,99999,13
00888,10001,6
00888,99999,75
00999,10099,3
20051,50006,17
20051,50008,8
20051,50009,182
20051,50010,77
20051,50011,58
20051,50012,104
20051,50013,57
20051,50014,60
20051,50015,23
20051,50016,43
20051,50017,24
20051,50018,94
20051,50019,117
20051,50020,35
20051,50021,38
20051,50022,117
20051,50023,63
20051,50024,22
20051,50025,11
20051,50026,44
20051,50027,48
20051,50028,105
20051,50029,28
20051,50030,40
20051,50031,11
20051,50032,94
20051,50033,30
20051,50034,179
20051,50035,37
20051,50036,187
20051,50037,54
20051,50038,87
20051,50039,20
20051,50040,79
20051,50041,25
20051,50042,91
20051,50043,1
20051,50044,26
20051,50311,22
20051,50312,65
20051,50313,1
20051,50314,35
20051,50315,38
20051,50316,4
20051,50317,3
20051,50319,1
20051,50320,41
20051,50321,2
20051,50899,1138
20051,99999,158
20061,50006,27
20061,50008,8
20061,50009,187
20061,50010,89
20061,50011,52
20061,50012,115
20061,50013,70
20061,50014,43
20061,50015,24
20061,50016,49
20061,50017,13
20061,50018,139
20061,50019,103
20061,50020,44
20061,50021,42
20061,50022,237
20061,50023,44
20061,50024,11
20061,50025,16
20061,50026,40
20061,50027,38
20061,50028,162
20061,50029,27
20061,50030,21
20061,50031,19
20061,50032,66
20061,50033,37
20061,50034,114
20061,50035,20
20061,50036,132
20061,50037,97
20061,50038,74
20061,50039,23
20061,50040,61
20061,50041,49
20061,50042,83
20061,50285,2
20061,50286,21
20061,50287,2
20061,50288,58
20061,50290,22
20061,50292,15
20061,50293,101
20061,50889,829
20061,99999,82
20071,10022,734
20071,10143,355
20071,10145,7
20071,10147,32
20071,10148,45
20071,10177,30
20071,10184,14
20071,10185,12
20071,10187,20
20071,10188,66
20071,10189,26
20071,10190,55
20071,10191,16
20071,10192,39
20071,10193,11
20071,10194,47
20071,10195,20
20071,10196,27
20071,10197,47
20071,10198,20
20071,10199,24
20071,10200,32
20071,10201,8
20071,10202,89
20071,10204,35
20071,50006,98
20071,50007,101
20071,50008,16
20071,50009,31
20071,50010,79
20071,50011,31
20071,50012,92
20071,50013,30
20071,50014,43
20071,50015,12
20071,50016,38
